0.7524,0.3156,0
0.5575,0.3643,0
0.9573,0.3905,0
0.9301,0.3980,0
0.5661,0.4018,0
0.7500,0.4261,0
0.8240,0.4261,0
0.6068,0.4355,0
0.6722,0.4299,0
0.3403,0.4467,0
0.3070,0.4505,0
0.6821,0.4786,0
0.3575,0.4805,0
0.3045,0.5048,0
0.6229,0.5217,0
0.5081,0.4973,0
0.5500,0.5329,0
0.4550,0.5741,0
0.5007,0.6097,0
0.3501,0.6135,0
0.5266,0.6285,0
0.3909,0.6603,0
0.4501,0.6753,0
0.4069,0.7240,0
0.3637,0.7409,0
0.3452,0.7615,0
0.4007,0.7708,0
0.3501,0.7896,0
0.4254,0.7989,0
0.3292,0.9657,0
0.3440,0.9994,0
0.8462,0.4467,1
0.8030,0.4561,1
0.9017,0.4542,1
0.9486,0.4673,1
0.7524,0.4748,1
0.7709,0.4842,1
0.8363,0.4954,1
0.6932,0.5367,1
0.8474,0.5779,1
0.5760,0.6060,1
0.9918,0.6191,1
0.6685,0.6191,1
0.5575,0.6566,1
0.9437,0.6641,1
0.8956,0.6678,1
0.6759,0.6753,1
0.9943,0.6996,1
0.9758,0.6996,1
0.5229,0.7053,1
0.8894,0.7090,1
0.7438,0.7090,1
0.6253,0.7090,1
0.7771,0.7053,1
0.9980,0.7334,1
0.6117,0.7390,1
0.7956,0.7577,1
0.5908,0.7690,1
0.5069,0.7690,1
0.8228,0.7746,1
0.9412,0.7821,1
0.6438,0.7896,1
0.7191,0.7952,1
0.6438,0.8195,1
0.6870,0.8645,1
0.6043,0.8720,1
0.9782,0.8795,1
0.4279,0.8814,1
0.9104,0.8907,1
0.4760,0.8964,1
0.5439,0.9039,1
0.7537,0.8870,1
0.8055,0.9263,1
0.7092,0.9413,1
0.7253,0.9713,1
0.7870,0.9750,1
0.6192,0.9769,1
0.6957,0.9863,1
0.4094,0.9863,1
